match_id,team,number,player
1,CHI,1,BARRIENTOS Felipe
1,CHI,10,FEUCHTMANN Emil
1,CHI,11,SALINAS Esteban
1,CHI,12,GARCIA Felipe
1,CHI,16,GONZALEZ Vicente
1,CHI,17,SALINAS Rodrigo
1,CHI,2,CEBALLOS Sebastian
1,CHI,20,PAVEZ Sebastian
1,CHI,21,FEUCHTMANN Harald
1,CHI,23,CALLEJA Benjamin
1,CHI,29,ONETO Marco
1,CHI,30,AYALA Daniel
1,CHI,4,FEUCHTMANN Erwin
1,CHI,7,REYES Diego
1,CHI,77,DONOSO Victor
1,CHI,9,FRELIJJ Javier
1,EGY,11,MOAMEN Ahmed
1,EGY,15,HESHAM Ahmed
1,EGY,24,ELMASRY Ibrahim
1,EGY,25,NAWAR Wisam
1,EGY,31,ELWAKIL Omar
1,EGY,39,ELDERAA Yehia
1,EGY,42,KADDAH Hassan
1,EGY,45,ELDERAA Seif
1,EGY,5,OMAR Yahia
1,EGY,53,YOUSRI Akram
1,EGY,55,RAMADAN Mohsen
1,EGY,88,HENDAWY Karim
1,EGY,89,MAMDOUH Mohamed
1,EGY,90,ZEIN Ali
1,EGY,91,SANAD Mohammad
1,EGY,96,ELTAYAR Mohamed
2,MKD,1,MITREVSKI Nikola
2,MKD,11,TALESKI Filip
2,MKD,12,TOMOVSKI Martin
2,MKD,17,MARKOSKI Nikola
2,MKD,18,KUZMANOVSKI Filip
2,MKD,19,KOSTESKI Nenad
2,MKD,21,TANKOSKI Mario
2,MKD,28,POPOVSKI Martin
2,MKD,29,GEORGIEVSKI Darko
2,MKD,33,PESHEVSKI Zharko
2,MKD,4,VELKOVSKI Martin
2,MKD,5,STOILOV Stojanche
2,MKD,6,DIMITRIOSKI Dimitar
2,MKD,7,LAZAROV Kiril
2,MKD,8,KUZMANOSKI Cvetan
2,MKD,97,MISHEVSKI Marko
2,SWE,11,PETTERSSON Daniel
2,SWE,12,PALICKA Andreas
2,SWE,15,WANNE Hampus
2,SWE,16,AGGEFORS Mikael
2,SWE,18,PETTERSSON Fredric
2,SWE,19,CLAAR Felix
2,SWE,2,CARLSBOGARD Jonathan
2,SWE,22,PELLAS Lucas
2,SWE,24,GOTTFRIDSSON Jim
2,SWE,26,PERSSON Linus
2,SWE,27,SUNNEFELDT Oskar
2,SWE,28,EDVARDSSON Jonathan
2,SWE,33,SANDELL Lukas
2,SWE,5,DARJ Max
2,SWE,62,CHRINTZ Valter
2,SWE,8,JONSSON Alfred
3,ALG,12,BENMENNI Abdellah
3,ALG,13,CHEHBOUR Riad
3,ALG,15,SAKER Redouane
3,ALG,18,KAABECHE Hichem
3,ALG,19,ENSAAD Oqba
3,ALG,2,NAIM Zohir
3,ALG,21,BOUDJENAH Oussem
3,ALG,22,GHEDBANE Khalifa
3,ALG,23,ABDERAHIM Berriah
3,ALG,36,ABDELKADER Rahim
3,ALG,4,HELLAL Nouredine
3,ALG,44,HADJ SADOK Moustapha
3,ALG,6,BERKOUS Messaoud
3,ALG,7,HICHEM Daoud
3,ALG,77,ARIB Reda
