posicion_final, equipo, nombre_equipo
1, DEN, Denmark
2, SWE, Sweden
3, ESP, Spain
4, FRA, France
5, HUN, Hungary
6, NOR, Norway
7, EGY, Egypt
8, QAT, Qatar
9, SLO, Slovenia
10, POR, Portugal
11, ARG, Argentina
12, GER, Germany
13, POL, Poland
14, RHF, Russian Handball Federation
15, CRO, Croatia
16, SUI, Switzerland
17, BLR, Belarus
18, BRA, Brazil
19, JPN, Japan
20, ISL, Iceland
21, BRN, Bahrain
22, ALG, Algeria
23, MKD, North Macedonia
24, URU, Uruguay
25, TUN, Tunisia
26, AUT, Austria
27, CHI, Chile
28, COD, Democratic Republic of the Congo
29, MAR, Morocco
30, ANG, Angola
31, KOR, South Korea
32, CPV, Cape Verde
